episode_id,source,modality,prompt_condition,condition,model,hmm_group,length,human_hmm_mean_loglik_per_step,trace_str
human__k1-2c6xw4w_sim1.pkl,human,human,human,human,human,human,58,-1.3876877235320935,increase_wavelength -> decrease_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_path_length -> increase_path_length -> decrease_path_length -> increase_path_length -> increase_path_length -> decrease_path_length -> increase_path_length -> decrease_path_length -> increase_concentration -> decrease_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> decrease_concentration -> decrease_concentration -> increase_concentration -> increase_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> increase_path_length -> decrease_path_length -> increase_path_length -> decrease_path_length -> decrease_path_length -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_path_length -> decrease_path_length -> increase_path_length -> increase_wavelength -> increase_path_length -> increase_wavelength -> decrease_path_length -> decrease_wavelength -> increase_wavelength -> finish
human__k1-2evmd4o_sim1.pkl,human,human,human,human,human,human,23,-1.6581950120773585,increase_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> increase_concentration -> decrease_concentration -> decrease_concentration -> increase_wavelength -> increase_concentration -> decrease_concentration -> increase_concentration -> decrease_concentration -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> increase_concentration -> increase_path_length -> decrease_path_length -> increase_wavelength -> decrease_wavelength -> finish
human__k1-2gyhzyv_sim1.pkl,human,human,human,human,human,human,20,-1.4989187246209774,increase_concentration -> decrease_concentration -> increase_concentration -> increase_concentration -> increase_concentration -> increase_concentration -> decrease_concentration -> increase_wavelength -> increase_wavelength -> decrease_wavelength -> increase_path_length -> increase_wavelength -> decrease_path_length -> increase_path_length -> decrease_path_length -> increase_path_length -> decrease_path_length -> increase_path_length -> decrease_path_length -> finish
human__k1-2ry26mia_sim1.pkl,human,human,human,human,human,human,9,-2.1487770692414956,decrease_concentration -> decrease_wavelength -> increase_wavelength -> increase_wavelength -> decrease_wavelength -> increase_concentration -> decrease_concentration -> increase_wavelength -> finish
human__k1-3ar8diu9_sim1.pkl,human,human,human,human,human,human,89,-1.6925051028286353,decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> decrease_concentration -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> increase_concentration -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> increase_concentration -> increase_wavelength -> decrease_wavelength -> increase_concentration -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_concentration -> decrease_concentration -> increase_wavelength -> decrease_wavelength -> increase_concentration -> increase_wavelength -> increase_concentration -> decrease_wavelength -> increase_wavelength -> increase_concentration -> decrease_wavelength -> decrease_concentration -> increase_wavelength -> decrease_wavelength -> increase_concentration -> increase_wavelength -> increase_concentration -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> increase_concentration -> increase_wavelength -> increase_concentration -> increase_wavelength -> decrease_concentration -> increase_concentration -> increase_wavelength -> decrease_wavelength -> decrease_concentration -> increase_wavelength -> increase_concentration -> increase_concentration -> increase_wavelength -> increase_concentration -> increase_wavelength -> increase_concentration -> increase_wavelength -> increase_concentration -> increase_wavelength -> decrease_wavelength -> increase_concentration -> increase_wavelength -> increase_concentration -> finish
human__k1-3wo8c2w_sim1.pkl,human,human,human,human,human,human,93,-1.3024965800636983,increase_concentration -> increase_concentration -> decrease_concentration -> decrease_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> increase_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> increase_concentration -> decrease_concentration -> increase_path_length -> decrease_path_length -> increase_path_length -> increase_concentration -> decrease_path_length -> increase_path_length -> increase_wavelength -> decrease_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> increase_wavelength -> decrease_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_path_length -> increase_path_length -> decrease_path_length -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> decrease_concentration -> increase_concentration -> increase_concentration -> increase_concentration -> increase_concentration -> increase_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> increase_concentration -> decrease_concentration -> increase_path_length -> increase_path_length -> decrease_path_length -> increase_path_length -> increase_path_length -> increase_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> increase_concentration -> increase_concentration -> increase_concentration -> increase_concentration -> decrease_path_length -> decrease_concentration -> increase_wavelength -> increase_concentration -> increase_concentration -> increase_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> increase_concentration -> increase_concentration -> increase_path_length -> decrease_path_length -> increase_path_length -> decrease_path_length -> increase_path_length -> increase_path_length -> decrease_path_length -> increase_path_length -> decrease_path_length -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> increase_path_length -> decrease_path_length -> finish
human__k1-4oujvbay_sim1.pkl,human,human,human,human,human,human,35,-1.4987139129015514,increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> increase_concentration -> decrease_wavelength -> decrease_concentration -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> increase_concentration -> decrease_concentration -> decrease_wavelength -> increase_wavelength -> decrease_concentration -> decrease_wavelength -> increase_concentration -> decrease_concentration -> increase_concentration -> increase_concentration -> increase_concentration -> finish
human__k1-5cx5i7tg_sim1.pkl,human,human,human,human,human,human,85,-1.205861109122422,increase_wavelength -> decrease_wavelength -> decrease_path_length -> increase_path_length -> decrease_path_length -> increase_path_length -> decrease_path_length -> increase_concentration -> decrease_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> increase_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> decrease_wavelength -> increase_wavelength -> increase_wavelength -> decrease_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> increase_concentration -> decrease_concentration -> increase_path_length -> decrease_path_length -> increase_path_length -> decrease_path_length -> decrease_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> decrease_concentration -> decrease_concentration -> increase_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> increase_concentration -> increase_concentration -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_path_length -> decrease_path_length -> increase_path_length -> decrease_path_length -> increase_path_length -> decrease_path_length -> decrease_path_length -> increase_concentration -> decrease_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> finish
human__k1-6poawdbw_sim1.pkl,human,human,human,human,human,human,44,-1.2392933038464058,increase_wavelength -> increase_wavelength -> decrease_wavelength -> increase_path_length -> decrease_path_length -> decrease_path_length -> increase_path_length -> decrease_concentration -> increase_concentration -> decrease_path_length -> increase_path_length -> decrease_path_length -> decrease_wavelength -> increase_wavelength -> increase_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> decrease_wavelength -> increase_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_concentration -> increase_concentration -> increase_concentration -> increase_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> finish
human__k1-6x2on43m_sim1.pkl,human,human,human,human,human,human,174,-1.2979829530728637,decrease_path_length -> increase_path_length -> decrease_path_length -> increase_path_length -> decrease_path_length -> increase_path_length -> decrease_path_length -> increase_path_length -> increase_path_length -> decrease_path_length -> increase_path_length -> decrease_path_length -> increase_path_length -> decrease_path_length -> decrease_path_length -> increase_path_length -> decrease_path_length -> increase_path_length -> decrease_path_length -> increase_path_length -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> decrease_wavelength -> decrease_wavelength -> decrease_wavelength -> decrease_path_length -> increase_path_length -> decrease_path_length -> increase_path_length -> decrease_path_length -> increase_path_length -> decrease_path_length -> increase_path_length -> decrease_path_length -> increase_path_length -> decrease_path_length -> increase_path_length -> decrease_path_length -> increase_path_length -> decrease_path_length -> decrease_wavelength -> decrease_path_length -> increase_path_length -> increase_wavelength -> decrease_path_length -> increase_path_length -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> decrease_wavelength -> increase_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_path_length -> increase_path_length -> decrease_path_length -> decrease_wavelength -> increase_wavelength -> increase_path_length -> decrease_path_length -> increase_path_length -> decrease_path_length -> increase_path_length -> increase_path_length -> increase_wavelength -> decrease_path_length -> increase_path_length -> decrease_path_length -> increase_path_length -> decrease_wavelength -> increase_wavelength -> increase_path_length -> increase_wavelength -> decrease_path_length -> increase_path_length -> decrease_wavelength -> increase_wavelength -> decrease_path_length -> increase_path_length -> increase_concentration -> decrease_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> decrease_path_length -> increase_path_length -> decrease_path_length -> increase_path_length -> decrease_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> increase_concentration -> increase_concentration -> increase_concentration -> decrease_concentration -> decrease_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> decrease_concentration -> decrease_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> increase_concentration -> increase_concentration -> increase_concentration -> increase_concentration -> increase_concentration -> increase_concentration -> increase_wavelength -> increase_wavelength -> decrease_concentration -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> decrease_wavelength -> increase_concentration -> increase_concentration -> decrease_wavelength -> increase_wavelength -> increase_wavelength -> increase_wavelength -> increase_concentration -> increase_wavelength -> decrease_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> increase_concentration -> decrease_concentration -> decrease_concentration -> decrease_concentration -> decrease_wavelength -> finish
human__k1-7fg7oyno_sim1.pkl,human,human,human,human,human,human,7,-2.1479662458546462,increase_concentration -> decrease_wavelength -> decrease_wavelength -> decrease_concentration -> decrease_concentration -> increase_concentration -> finish
human__k1-7tn4j5r_sim1.pkl,human,human,human,human,human,human,17,-2.259731235613034,increase_concentration -> increase_wavelength -> decrease_path_length -> increase_concentration -> increase_wavelength -> decrease_wavelength -> increase_path_length -> decrease_path_length -> decrease_concentration -> increase_concentration -> increase_wavelength -> increase_wavelength -> increase_path_length -> decrease_path_length -> decrease_path_length -> increase_path_length -> finish
human__k1-7v5rqcw_sim1.pkl,human,human,human,human,human,human,87,-1.3324318900456043,increase_wavelength -> increase_concentration -> decrease_concentration -> increase_concentration -> decrease_wavelength -> increase_wavelength -> increase_wavelength -> increase_wavelength -> increase_wavelength -> decrease_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_concentration -> increase_concentration -> increase_concentration -> increase_path_length -> decrease_path_length -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> decrease_concentration -> decrease_concentration -> increase_concentration -> decrease_concentration -> decrease_concentration -> increase_concentration -> increase_concentration -> decrease_concentration -> decrease_concentration -> increase_concentration -> increase_path_length -> decrease_path_length -> increase_path_length -> decrease_path_length -> increase_path_length -> decrease_path_length -> increase_path_length -> decrease_path_length -> decrease_wavelength -> increase_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_concentration -> increase_concentration -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> increase_path_length -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> increase_wavelength -> decrease_wavelength -> increase_concentration -> decrease_concentration -> increase_concentration -> increase_wavelength -> decrease_wavelength -> decrease_concentration -> finish
human__k1-844jdzzv_sim1.pkl,human,human,human,human,human,human,196,-1.2686658456013,increase_wavelength -> decrease_wavelength -> increase_wavelength -> increase_wavelength -> increase_path_length -> decrease_path_length -> increase_path_length -> decrease_path_length -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> increase_concentration -> decrease_concentration -> increase_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> decrease_concentration -> decrease_concentration -> increase_concentration -> increase_concentration -> decrease_concentration -> decrease_wavelength -> decrease_wavelength -> decrease_wavelength -> decrease_wavelength -> decrease_wavelength -> decrease_wavelength -> decrease_wavelength -> increase_concentration -> decrease_concentration -> increase_wavelength -> increase_wavelength -> decrease_wavelength -> decrease_wavelength -> decrease_wavelength -> decrease_wavelength -> increase_wavelength -> increase_concentration -> decrease_concentration -> decrease_concentration -> increase_concentration -> increase_concentration -> increase_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> increase_concentration -> decrease_concentration -> decrease_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> increase_path_length -> increase_concentration -> decrease_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> decrease_concentration -> decrease_path_length -> decrease_path_length -> decrease_path_length -> increase_concentration -> increase_concentration -> increase_concentration -> increase_concentration -> increase_concentration -> increase_concentration -> increase_concentration -> increase_concentration -> decrease_concentration -> decrease_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> increase_concentration -> increase_concentration -> increase_concentration -> increase_concentration -> increase_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> increase_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> increase_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> increase_concentration -> increase_concentration -> increase_concentration -> increase_concentration -> increase_concentration -> increase_concentration -> increase_concentration -> increase_path_length -> decrease_path_length -> increase_path_length -> decrease_path_length -> increase_path_length -> decrease_path_length -> increase_path_length -> decrease_concentration -> increase_concentration -> decrease_concentration -> decrease_path_length -> increase_path_length -> decrease_concentration -> increase_concentration -> increase_concentration -> increase_concentration -> increase_path_length -> decrease_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> increase_concentration -> increase_concentration -> decrease_concentration -> increase_path_length -> decrease_concentration -> increase_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> decrease_concentration -> decrease_concentration -> increase_concentration -> increase_concentration -> increase_concentration -> increase_path_length -> decrease_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> decrease_concentration -> decrease_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> decrease_concentration -> decrease_concentration -> increase_concentration -> increase_path_length -> increase_concentration -> decrease_path_length -> increase_path_length -> increase_concentration -> increase_concentration -> decrease_path_length -> increase_concentration -> increase_path_length -> increase_path_length -> increase_concentration -> increase_concentration -> decrease_path_length -> increase_concentration -> decrease_concentration -> increase_concentration -> increase_path_length -> increase_concentration -> decrease_concentration -> increase_concentration -> increase_path_length -> increase_concentration -> decrease_path_length -> finish
human__k1-8sivzms8_sim1.pkl,human,human,human,human,human,human,52,-1.3754679739010167,increase_path_length -> decrease_path_length -> increase_path_length -> decrease_path_length -> increase_path_length -> decrease_path_length -> increase_path_length -> decrease_path_length -> increase_path_length -> increase_concentration -> decrease_concentration -> decrease_concentration -> increase_concentration -> decrease_concentration -> decrease_concentration -> increase_wavelength -> decrease_wavelength -> increase_concentration -> decrease_concentration -> increase_concentration -> decrease_path_length -> increase_path_length -> decrease_path_length -> increase_path_length -> decrease_path_length -> increase_path_length -> decrease_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> increase_concentration -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_path_length -> increase_path_length -> decrease_path_length -> increase_path_length -> decrease_path_length -> increase_path_length -> decrease_path_length -> finish
human__k1-8wnwvt2o_sim1.pkl,human,human,human,human,human,human,14,-1.2978861089895077,increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> decrease_wavelength -> increase_wavelength -> increase_wavelength -> increase_concentration -> decrease_concentration -> increase_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> finish
human__k1-8yhczhdd_sim1.pkl,human,human,human,human,human,human,13,-1.7108495059008226,increase_concentration -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_concentration -> increase_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> decrease_concentration -> increase_wavelength -> decrease_wavelength -> finish
