episode_path,run_name,modality,formula,setup,model,has_parse_error,failed_step,parse_error_message,finish_reached,forced_finish,final_equation
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_resistors_concrete_model_qwen25_vl_7b-06_latest,image_only_resistors_concrete_model_qwen25_vl_7b,Simulation-only,resistors,concrete,model_qwen25_vl_7b,False,,,True,False,total_resistance = resistance_1 + resistance_2
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_distance_abbrev_model_qwen25_vl_7b-07_latest,image_only_distance_abbrev_model_qwen25_vl_7b,Simulation-only,distance,abbrev,model_qwen25_vl_7b,False,,,True,False,d = d1 + d2 + d3
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_ohm_abbrev_model_qwen25_vl_7b-07_latest,image_only_ohm_abbrev_model_qwen25_vl_7b,Simulation-only,ohm,abbrev,model_qwen25_vl_7b,False,,,True,False,V = kI
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_resistors_abbrev_model_qwen25_vl_3b-06_latest,image_only_resistors_abbrev_model_qwen25_vl_3b,Simulation-only,resistors,abbrev,model_qwen25_vl_3b,False,,,True,False,Rt = R1 + R2
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_kinematics_abbrev_model_qwen25_vl_7b-04_latest,image_only_kinematics_abbrev_model_qwen25_vl_7b,Simulation-only,kinematics,abbrev,model_qwen25_vl_7b,False,,,True,False,x = v * t
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_distance_abbrev_model_qwen25_vl_3b-08_latest,image_only_distance_abbrev_model_qwen25_vl_3b,Simulation-only,distance,abbrev,model_qwen25_vl_3b,False,,,True,False,d = d1 + d2 - d3
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_kinematics_concrete_model_qwen25_vl_3b-05_latest,image_only_kinematics_concrete_model_qwen25_vl_3b,Simulation-only,kinematics,concrete,model_qwen25_vl_3b,False,,,True,False,position = initial_position + velocity * time
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_ohm_concrete_model_qwen25_vl_7b-07_latest,image_only_ohm_concrete_model_qwen25_vl_7b,Simulation-only,ohm,concrete,model_qwen25_vl_7b,False,,,True,False,voltage = current * resistance
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_ohm_abbrev_model_qwen25_vl_7b-00_latest,image_only_ohm_abbrev_model_qwen25_vl_7b,Simulation-only,ohm,abbrev,model_qwen25_vl_7b,False,,,True,False,V = kI
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_mass_abbrev_model_qwen25_vl_7b-09_latest,image_only_mass_abbrev_model_qwen25_vl_7b,Simulation-only,mass,abbrev,model_qwen25_vl_7b,False,,,True,False,m = ρ / V
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_kinematics_abstract_model_qwen25_vl_3b-09_latest,image_only_kinematics_abstract_model_qwen25_vl_3b,Simulation-only,kinematics,abstract,model_qwen25_vl_3b,False,,,True,False,Y = k * A + m * B
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_ohm_abstract_model_qwen25_vl_3b-03_latest,image_only_ohm_abstract_model_qwen25_vl_3b,Simulation-only,ohm,abstract,model_qwen25_vl_3b,False,,,True,False,Y = A + B
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_mass_concrete_model_qwen25_vl_7b-03_latest,image_only_mass_concrete_model_qwen25_vl_7b,Simulation-only,mass,concrete,model_qwen25_vl_7b,False,,,True,False,mass = density * volume
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_resistors_concrete_model_qwen25_vl_7b-07_latest,image_only_resistors_concrete_model_qwen25_vl_7b,Simulation-only,resistors,concrete,model_qwen25_vl_7b,False,,,True,False,total_resistance = resistance_1 + resistance_2
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_kinematics_abbrev_model_qwen25_vl_3b-08_latest,image_only_kinematics_abbrev_model_qwen25_vl_3b,Simulation-only,kinematics,abbrev,model_qwen25_vl_3b,False,,,True,False,x = x0 * t
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_kinematics_concrete_model_qwen25_vl_3b-08_latest,image_only_kinematics_concrete_model_qwen25_vl_3b,Simulation-only,kinematics,concrete,model_qwen25_vl_3b,False,,,True,False,position = initial_position + velocity * time
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_ohm_concrete_model_qwen25_vl_3b-08_latest,image_only_ohm_concrete_model_qwen25_vl_3b,Simulation-only,ohm,concrete,model_qwen25_vl_3b,False,,,True,False,voltage = current + resistance
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_beers_abbrev_model_qwen25_vl_7b-09_latest,image_only_beers_abbrev_model_qwen25_vl_7b,Simulation-only,beers,abbrev,model_qwen25_vl_7b,False,,,True,False,A = c * (epsilon + l)
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_mass_abbrev_model_qwen25_vl_3b-00_latest,image_only_mass_abbrev_model_qwen25_vl_3b,Simulation-only,mass,abbrev,model_qwen25_vl_3b,False,,,True,False,m = k * V^2
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_resistors_abstract_model_qwen25_vl_3b-03_latest,image_only_resistors_abstract_model_qwen25_vl_3b,Simulation-only,resistors,abstract,model_qwen25_vl_3b,False,,,True,False,Y = A
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_distance_abbrev_model_qwen25_vl_3b-09_latest,image_only_distance_abbrev_model_qwen25_vl_3b,Simulation-only,distance,abbrev,model_qwen25_vl_3b,False,,,True,False,d = k * d1 / d2
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_mass_abstract_model_qwen25_vl_3b-06_latest,image_only_mass_abstract_model_qwen25_vl_3b,Simulation-only,mass,abstract,model_qwen25_vl_3b,False,,,True,False,Y = B
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_kinematics_abbrev_model_qwen25_vl_3b-05_latest,image_only_kinematics_abbrev_model_qwen25_vl_3b,Simulation-only,kinematics,abbrev,model_qwen25_vl_3b,False,,,True,False,x = v * t
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_ohm_abstract_model_qwen25_vl_3b-09_latest,image_only_ohm_abstract_model_qwen25_vl_3b,Simulation-only,ohm,abstract,model_qwen25_vl_3b,False,,,True,False,Y = A + B
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_beers_abstract_model_qwen25_vl_3b-01_latest,image_only_beers_abstract_model_qwen25_vl_3b,Simulation-only,beers,abstract,model_qwen25_vl_3b,False,,,True,False,Y = A + B
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_kinematics_abbrev_model_qwen25_vl_7b-03_latest,image_only_kinematics_abbrev_model_qwen25_vl_7b,Simulation-only,kinematics,abbrev,model_qwen25_vl_7b,False,,,True,False,x = 3v
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_beers_concrete_model_qwen25_vl_7b-06_latest,image_only_beers_concrete_model_qwen25_vl_7b,Simulation-only,beers,concrete,model_qwen25_vl_7b,False,,,True,False,absorbance = molar_absorptivity * concentration * path_length
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_resistors_abbrev_model_qwen25_vl_3b-01_latest,image_only_resistors_abbrev_model_qwen25_vl_3b,Simulation-only,resistors,abbrev,model_qwen25_vl_3b,False,,,True,False,Rt = R1 + R2
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_kinematics_concrete_model_qwen25_vl_7b-09_latest,image_only_kinematics_concrete_model_qwen25_vl_7b,Simulation-only,kinematics,concrete,model_qwen25_vl_7b,False,,,True,False,"position = integral(velocity, time)"
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_distance_abbrev_model_qwen25_vl_3b-03_latest,image_only_distance_abbrev_model_qwen25_vl_3b,Simulation-only,distance,abbrev,model_qwen25_vl_3b,False,,,True,False,d3 = d1 + d2
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_ohm_abbrev_model_qwen25_vl_3b-06_latest,image_only_ohm_abbrev_model_qwen25_vl_3b,Simulation-only,ohm,abbrev,model_qwen25_vl_3b,False,,,True,False,V = I * R
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_mass_concrete_model_qwen25_vl_3b-05_latest,image_only_mass_concrete_model_qwen25_vl_3b,Simulation-only,mass,concrete,model_qwen25_vl_3b,False,,,True,False,mass = volume * density
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_beers_abbrev_model_qwen25_vl_3b-07_latest,image_only_beers_abbrev_model_qwen25_vl_3b,Simulation-only,beers,abbrev,model_qwen25_vl_3b,False,,,True,False,A = epsilon + c
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_ohm_concrete_model_qwen25_vl_7b-01_latest,image_only_ohm_concrete_model_qwen25_vl_7b,Simulation-only,ohm,concrete,model_qwen25_vl_7b,False,,,True,False,voltage = current * resistance
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_distance_abstract_model_qwen25_vl_3b-02_latest,image_only_distance_abstract_model_qwen25_vl_3b,Simulation-only,distance,abstract,model_qwen25_vl_3b,False,,,True,False,Y = A + B + C
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_ohm_concrete_model_qwen25_vl_3b-06_latest,image_only_ohm_concrete_model_qwen25_vl_3b,Simulation-only,ohm,concrete,model_qwen25_vl_3b,False,,,True,False,voltage = current * resistance
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_distance_abstract_model_qwen25_vl_3b-04_latest,image_only_distance_abstract_model_qwen25_vl_3b,Simulation-only,distance,abstract,model_qwen25_vl_3b,False,,,True,False,Y = A + B
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_distance_abbrev_model_qwen25_vl_3b-02_latest,image_only_distance_abbrev_model_qwen25_vl_3b,Simulation-only,distance,abbrev,model_qwen25_vl_3b,False,,,True,False,d = d1 + d2 - d3
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_distance_concrete_model_qwen25_vl_7b-05_latest,image_only_distance_concrete_model_qwen25_vl_7b,Simulation-only,distance,concrete,model_qwen25_vl_7b,False,,,True,False,total_distance = distance_1 + distance_2 + distance_3
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_beers_abbrev_model_qwen25_vl_3b-05_latest,image_only_beers_abbrev_model_qwen25_vl_3b,Simulation-only,beers,abbrev,model_qwen25_vl_3b,False,,,True,False,A = epsilon * c + epsilon
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_kinematics_abbrev_model_qwen25_vl_3b-03_latest,image_only_kinematics_abbrev_model_qwen25_vl_3b,Simulation-only,kinematics,abbrev,model_qwen25_vl_3b,False,,,True,False,"x = max(v, t)"
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_beers_concrete_model_qwen25_vl_7b-08_latest,image_only_beers_concrete_model_qwen25_vl_7b,Simulation-only,beers,concrete,model_qwen25_vl_7b,False,,,True,False,absorbance = molar_absorptivity * concentration * path_length
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_mass_concrete_model_qwen25_vl_7b-05_latest,image_only_mass_concrete_model_qwen25_vl_7b,Simulation-only,mass,concrete,model_qwen25_vl_7b,False,,,True,False,mass = density * volume
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_resistors_abstract_model_qwen25_vl_3b-01_latest,image_only_resistors_abstract_model_qwen25_vl_3b,Simulation-only,resistors,abstract,model_qwen25_vl_3b,False,,,True,False,Y = A + B
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_kinematics_abstract_model_qwen25_vl_7b-05_latest,image_only_kinematics_abstract_model_qwen25_vl_7b,Simulation-only,kinematics,abstract,model_qwen25_vl_7b,False,,,True,False,Y = C * A + B
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_distance_concrete_model_qwen25_vl_3b-05_latest,image_only_distance_concrete_model_qwen25_vl_3b,Simulation-only,distance,concrete,model_qwen25_vl_3b,False,,,True,False,distance_1 + distance_2
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_resistors_concrete_model_qwen25_vl_7b-02_latest,image_only_resistors_concrete_model_qwen25_vl_7b,Simulation-only,resistors,concrete,model_qwen25_vl_7b,False,,,True,False,total_resistance = resistance_1 + resistance_2
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_kinematics_abstract_model_qwen25_vl_7b-04_latest,image_only_kinematics_abstract_model_qwen25_vl_7b,Simulation-only,kinematics,abstract,model_qwen25_vl_7b,False,,,True,False,Y = C * (A + B)
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_kinematics_abbrev_model_qwen25_vl_3b-07_latest,image_only_kinematics_abbrev_model_qwen25_vl_3b,Simulation-only,kinematics,abbrev,model_qwen25_vl_3b,False,,,True,False,x = x0
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_resistors_abbrev_model_qwen25_vl_7b-02_latest,image_only_resistors_abbrev_model_qwen25_vl_7b,Simulation-only,resistors,abbrev,model_qwen25_vl_7b,False,,,True,False,Rt = R2
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_kinematics_abstract_model_qwen25_vl_3b-03_latest,image_only_kinematics_abstract_model_qwen25_vl_3b,Simulation-only,kinematics,abstract,model_qwen25_vl_3b,True,3,"[json_decode] model output is not valid JSON (error: Expecting ',' delimiter at pos 195): '{\\n  ""reasoning"": ""Observing the bar chart, it appears that the height of the orange bar (Y) is consistently",False,False,
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_beers_abbrev_model_qwen25_vl_3b-03_latest,image_only_beers_abbrev_model_qwen25_vl_3b,Simulation-only,beers,abbrev,model_qwen25_vl_3b,False,,,True,False,A = c * l / epsilon
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_kinematics_abbrev_model_qwen25_vl_3b-02_latest,image_only_kinematics_abbrev_model_qwen25_vl_3b,Simulation-only,kinematics,abbrev,model_qwen25_vl_3b,False,,,True,False,x = x0 + vt
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_mass_abstract_model_qwen25_vl_3b-03_latest,image_only_mass_abstract_model_qwen25_vl_3b,Simulation-only,mass,abstract,model_qwen25_vl_3b,False,,,True,False,Y = const
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_kinematics_abbrev_model_qwen25_vl_7b-05_latest,image_only_kinematics_abbrev_model_qwen25_vl_7b,Simulation-only,kinematics,abbrev,model_qwen25_vl_7b,False,,,True,False,x = const
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_kinematics_concrete_model_qwen25_vl_3b-04_latest,image_only_kinematics_concrete_model_qwen25_vl_3b,Simulation-only,kinematics,concrete,model_qwen25_vl_3b,False,,,True,False,initial_position + velocity * time^2
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_kinematics_abbrev_model_qwen25_vl_3b-06_latest,image_only_kinematics_abbrev_model_qwen25_vl_3b,Simulation-only,kinematics,abbrev,model_qwen25_vl_3b,False,,,True,False,x = x0 / (v * t)
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_resistors_abbrev_model_qwen25_vl_3b-02_latest,image_only_resistors_abbrev_model_qwen25_vl_3b,Simulation-only,resistors,abbrev,model_qwen25_vl_3b,False,,,True,False,Rt = R1 + R2
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_beers_abstract_model_qwen25_vl_3b-05_latest,image_only_beers_abstract_model_qwen25_vl_3b,Simulation-only,beers,abstract,model_qwen25_vl_3b,False,,,True,False,Y = k * A + k * B
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_ohm_abstract_model_qwen25_vl_7b-00_latest,image_only_ohm_abstract_model_qwen25_vl_7b,Simulation-only,ohm,abstract,model_qwen25_vl_7b,False,,,True,False,Y = A + B
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_distance_abstract_model_qwen25_vl_7b-08_latest,image_only_distance_abstract_model_qwen25_vl_7b,Simulation-only,distance,abstract,model_qwen25_vl_7b,False,,,True,False,Y = A + C
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_beers_concrete_model_qwen25_vl_3b-07_latest,image_only_beers_concrete_model_qwen25_vl_3b,Simulation-only,beers,concrete,model_qwen25_vl_3b,False,,,True,False,absorbance = concentration * molar_absorptivity / path_length
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_distance_abbrev_model_qwen25_vl_7b-02_latest,image_only_distance_abbrev_model_qwen25_vl_7b,Simulation-only,distance,abbrev,model_qwen25_vl_7b,False,,,True,False,d = d1 + d2
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_mass_concrete_model_qwen25_vl_7b-02_latest,image_only_mass_concrete_model_qwen25_vl_7b,Simulation-only,mass,concrete,model_qwen25_vl_7b,False,,,True,False,mass = volume * density
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_mass_abstract_model_qwen25_vl_7b-00_latest,image_only_mass_abstract_model_qwen25_vl_7b,Simulation-only,mass,abstract,model_qwen25_vl_7b,False,,,True,False,Y = A + B
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_distance_abbrev_model_qwen25_vl_3b-06_latest,image_only_distance_abbrev_model_qwen25_vl_3b,Simulation-only,distance,abbrev,model_qwen25_vl_3b,False,,,True,False,d = k * d1 + k * d2
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_distance_abbrev_model_qwen25_vl_3b-04_latest,image_only_distance_abbrev_model_qwen25_vl_3b,Simulation-only,distance,abbrev,model_qwen25_vl_3b,False,,,True,False,d = constant
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_kinematics_abstract_model_qwen25_vl_7b-06_latest,image_only_kinematics_abstract_model_qwen25_vl_7b,Simulation-only,kinematics,abstract,model_qwen25_vl_7b,False,,,True,False,Y = A + B - C
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_ohm_abbrev_model_qwen25_vl_7b-05_latest,image_only_ohm_abbrev_model_qwen25_vl_7b,Simulation-only,ohm,abbrev,model_qwen25_vl_7b,False,,,True,False,V = k / I
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_beers_abstract_model_qwen25_vl_7b-01_latest,image_only_beers_abstract_model_qwen25_vl_7b,Simulation-only,beers,abstract,model_qwen25_vl_7b,False,,,True,False,Y = A + B + C
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_resistors_abbrev_model_qwen25_vl_7b-06_latest,image_only_resistors_abbrev_model_qwen25_vl_7b,Simulation-only,resistors,abbrev,model_qwen25_vl_7b,False,,,True,False,Rt = R1 + R2
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_mass_abbrev_model_qwen25_vl_3b-01_latest,image_only_mass_abbrev_model_qwen25_vl_3b,Simulation-only,mass,abbrev,model_qwen25_vl_3b,False,,,True,False,m = rho * V
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_distance_abstract_model_qwen25_vl_7b-09_latest,image_only_distance_abstract_model_qwen25_vl_7b,Simulation-only,distance,abstract,model_qwen25_vl_7b,False,,,True,False,Y = A + B + C
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_resistors_abstract_model_qwen25_vl_3b-04_latest,image_only_resistors_abstract_model_qwen25_vl_3b,Simulation-only,resistors,abstract,model_qwen25_vl_3b,False,,,True,False,Y = kA + kB
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_mass_abstract_model_qwen25_vl_7b-02_latest,image_only_mass_abstract_model_qwen25_vl_7b,Simulation-only,mass,abstract,model_qwen25_vl_7b,False,,,True,False,Y = A + B
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_distance_abstract_model_qwen25_vl_3b-09_latest,image_only_distance_abstract_model_qwen25_vl_3b,Simulation-only,distance,abstract,model_qwen25_vl_3b,False,,,True,False,Y = A + B + C
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_beers_concrete_model_qwen25_vl_7b-04_latest,image_only_beers_concrete_model_qwen25_vl_7b,Simulation-only,beers,concrete,model_qwen25_vl_7b,False,,,True,False,absorbance = molar_absorptivity * concentration * path_length
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_distance_abstract_model_qwen25_vl_7b-02_latest,image_only_distance_abstract_model_qwen25_vl_7b,Simulation-only,distance,abstract,model_qwen25_vl_7b,False,,,True,False,Y = A + B
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_ohm_abbrev_model_qwen25_vl_7b-04_latest,image_only_ohm_abbrev_model_qwen25_vl_7b,Simulation-only,ohm,abbrev,model_qwen25_vl_7b,False,,,True,False,V = kI
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_beers_concrete_model_qwen25_vl_7b-09_latest,image_only_beers_concrete_model_qwen25_vl_7b,Simulation-only,beers,concrete,model_qwen25_vl_7b,False,,,True,False,Absorbance = k * molar_absorptivity * path_length
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_ohm_concrete_model_qwen25_vl_3b-04_latest,image_only_ohm_concrete_model_qwen25_vl_3b,Simulation-only,ohm,concrete,model_qwen25_vl_3b,False,,,True,False,voltage = current * resistance
